2025-09-06 19:52:55 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:53:06 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:53:06 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:53:16 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:53:16 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:53:27 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:53:27 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:53:37 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:53:37 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:53:48 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:53:48 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:53:58 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:53:58 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:54:09 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:54:09 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:54:19 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:54:19 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:54:30 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
